,O,C,E,A,N,Cluster
248,8.0,8.0,5.0,7.0,6.399999999999999,1
249,7.2,7.3999999999999995,6.0,7.199999999999999,7.0,1
250,7.200000000000001,5.800000000000001,6.3999999999999995,7.999999999999999,4.4,1
251,9.399999999999999,6.0,2.8,9.2,5.4,1
252,6.8,5.6,6.0,7.399999999999999,7.4,2
253,7.8,8.4,6.0,6.799999999999999,5.3999999999999995,1
254,7.200000000000001,8.799999999999999,8.6,7.0,6.2,4
255,8.8,5.999999999999999,5.6000000000000005,9.6,6.599999999999999,2
256,6.000000000000001,5.799999999999999,4.199999999999999,6.4,7.3999999999999995,0
257,9.6,7.6,2.3999999999999995,6.6,6.6000000000000005,3
258,8.4,5.8,5.6,6.199999999999999,6.6,3
259,7.999999999999999,7.0,4.3999999999999995,8.799999999999999,7.599999999999999,0
260,8.600000000000001,8.600000000000001,8.0,8.8,5.6000000000000005,4
261,7.6000000000000005,7.2,4.6000000000000005,9.2,4.0,1
262,7.4,7.799999999999999,5.8,8.2,6.8,1
263,8.6,9.4,5.800000000000001,8.799999999999999,6.0,1
264,8.2,8.4,8.6,8.399999999999999,6.000000000000001,4
265,7.2,7.199999999999998,6.3999999999999995,5.199999999999999,6.0,3
266,5.0,4.6,2.3999999999999995,6.399999999999999,9.8,0
267,6.799999999999999,5.799999999999999,9.0,7.0,4.400000000000001,4
268,9.8,7.199999999999999,4.6,7.199999999999999,6.999999999999999,0
269,4.3999999999999995,5.6,1.9999999999999998,5.8,8.600000000000001,0
270,7.2,6.200000000000001,2.5999999999999996,6.199999999999999,8.4,0
271,7.3999999999999995,5.0,8.399999999999999,7.799999999999999,7.6,2
272,10.0,10.0,8.4,9.399999999999999,5.6,4
273,8.799999999999999,6.8,2.3999999999999995,9.2,3.4000000000000004,1
274,6.6,4.799999999999999,7.999999999999999,8.2,7.999999999999999,2
275,7.199999999999999,4.8,5.800000000000001,6.799999999999999,4.800000000000001,3
276,8.4,8.6,7.599999999999999,8.6,4.6000000000000005,4
277,9.0,7.6,9.6,8.799999999999999,7.599999999999998,2
278,8.0,7.199999999999999,7.199999999999999,8.2,3.400000000000001,4
279,5.200000000000001,7.999999999999999,6.199999999999999,8.0,4.2,1
280,6.200000000000001,7.6,3.000000000000001,6.0,2.8000000000000007,3
281,9.399999999999999,7.0,3.8000000000000007,7.2,7.799999999999999,0
282,5.800000000000001,6.4,6.6,6.6,5.800000000000001,3
